"","Month","Year","Start.Date","Report.Type","Security.Type","Number.of.CUSIPs","PCT.of.CUSIPs","Trade.Count","PCT.of.Trade.Count","Par.Traded","PCT.of.Par.Traded","Avg.Trade.Size"
"34","August","2000",2000-08-01,"Customer Sold Only","CP",228,0.00303890599384222,269,0.00199110295260583,2058738000,0.0261135641992282,7653301.11524164
"30","August","2000",2000-08-01,"Customer Sold Only","Long Note",413,0.00550468498007384,557,0.00412284142974515,1623279560,0.020590096944514,2914325.96050269
"32","August","2000",2000-08-01,"Customer Sold Only","Long Variable",99,0.00131952497101044,180,0.00133233654821208,123918273,0.00157181136086427,688434.85
"35","August","2000",2000-08-01,"Customer Sold Only","Other",279,0.0037186612819385,553,0.004093233950896,1395687069,0.0177032550418577,2523846.41772152
"31","August","2000",2000-08-01,"Customer Sold Only","Short Note",50,0.000666426753035574,81,0.000599551446695435,151075488,0.00191628048582079,1865129.48148148
"33","August","2000",2000-08-01,"Customer Sold Only","Short Variable",3516,0.0468631292734616,15014,0.111131671860312,46788678500,0.593479675318956,3116336.65245771
"211","September","2000",2000-09-01,"Total Customer and Interdealer","Bond",84955,0.924046640127042,453266,0.920008281304549,76000525710,0.368522313522903,167673.12286825
"216","September","2000",2000-09-01,"Total Customer and Interdealer","CP",799,0.00869063934390567,1181,0.00239711290990428,10040361667,0.0486851541560147,8501576.34801016
"212","September","2000",2000-09-01,"Total Customer and Interdealer","Long Note",1011,0.0109965411472949,4001,0.00812095575997207,4913081691,0.0238232593048511,1227963.43189203
"214","September","2000",2000-09-01,"Total Customer and Interdealer","Long Variable",151,0.00164241119014988,887,0.0018003718468121,639176090,0.00309932923798618,720604.385569335
"217","September","2000",2000-09-01,"Total Customer and Interdealer","Other",564,0.0061345689486393,1487,0.00301821075108185,4194696027,0.0203398472570298,2820911.92131809
"213","September","2000",2000-09-01,"Total Customer and Interdealer","Short Note",140,0.00152276534186082,450,0.000913379178202307,821974365,0.00398570788578719,1826609.7
"215","September","2000",2000-09-01,"Total Customer and Interdealer","Short Variable",4318,0.0469664339011073,31404,0.0637416882494784,109620643017,0.531544388635428,3490658.61090944
"218","September","2000",2000-09-01,"Interdealer Only","Bond",33748,0.978827078136783,96347,0.985747902598731,22409663000,0.960712237578749,232593.261855585
"223","September","2000",2000-09-01,"Interdealer Only","CP",0,0,0,0,0,0,NA
"219","September","2000",2000-09-01,"Interdealer Only","Long Note",333,0.00965833284993329,663,0.00678330263965623,429524000,0.0184138852571667,647849.170437406
"221","September","2000",2000-09-01,"Interdealer Only","Long Variable",49,0.00142119612506526,145,0.00148352772662165,34834000,0.0014933491005116,240234.482758621
"224","September","2000",2000-09-01,"Interdealer Only","Other",26,0.000754104066361158,49,0.000501330059341109,12216000,0.00052370536291697,249306.12244898
"220","September","2000",2000-09-01,"Interdealer Only","Short Note",43,0.00124717210975115,58,0.00059341109064866,26807000,0.00114922803403039,462189.655172414
"222","September","2000",2000-09-01,"Interdealer Only","Short Variable",279,0.00809211671210627,478,0.00489052588500102,413049000,0.0177075946666251,864119.246861925
"225","September","2000",2000-09-01,"Customer Only Buy and Sell","Bond",84171,0.923636563151542,356919,0.903738833633804,53590862710,0.292999363595666,150148.52868578
"230","September","2000",2000-09-01,"Customer Only Buy and Sell","CP",799,0.00876769450235927,1181,0.00299035793141167,10040361667,0.0548940515218162,8501576.34801016
"226","September","2000",2000-09-01,"Customer Only Buy and Sell","Long Note",995,0.0109184681224624,3338,0.00845200234974781,4483557691,0.0245131256277075,1343186.845716
"228","September","2000",2000-09-01,"Customer Only Buy and Sell","Long Variable",150,0.0016460002194667,742,0.00187878542346102,604342090,0.00330414251254502,814477.210242588
"231","September","2000",2000-09-01,"Customer Only Buy and Sell","Other",563,0.00617798749039833,1438,0.00364109627889076,4182480027,0.0228670322549951,2908539.65716273
"227","September","2000",2000-09-01,"Customer Only Buy and Sell","Short Note",137,0.00150334686711292,392,0.000992565884092612,795167365,0.00434744880219232,2028488.17602041
"229","September","2000",2000-09-01,"Customer Only Buy and Sell","Short Variable",4315,0.0473499396466586,30926,0.0783063584985922,109207594017,0.597074835685078,3531255.06101662
"232","September","2000",2000-09-01,"Customer Bought Only","Bond",75913,0.922954407294833,251840,0.920091190740633,31981346684,0.300000329315762,126990.734926938
"237","September","2000",2000-09-01,"Customer Bought Only","CP",778,0.00945896656534954,1018,0.00371923773893728,8600397667,0.0806758438861278,8448327.76719057
"233","September","2000",2000-09-01,"Customer Bought Only","Long Note",952,0.0115744680851064,2729,0.00997033378149296,3254771291,0.0305313115421744,1192660.78820081
"235","September","2000",2000-09-01,"Customer Bought Only","Long Variable",139,0.00168996960486322,564,0.00206056000467645,367761545,0.00344977920097624,652059.476950355
"238","September","2000",2000-09-01,"Customer Bought Only","Other",460,0.00559270516717325,877,0.00320409773776817,2564369173,0.0240550094399892,2924024.14253136
"234","September","2000",2000-09-01,"Customer Bought Only","Short Note",132,0.0016048632218845,325,0.00118737943531888,627264365,0.00588403977879353,1930044.2
"236","September","2000",2000-09-01,"Customer Bought Only","Short Variable",3876,0.0471246200607903,16359,0.0597672005611738,59208461200,0.555403686836177,3619320.32520325
"239","September","2000",2000-09-01,"Customer Sold Only","Bond",64224,0.936059815481483,105079,0.866816801953409,21609516026,0.283217795893824,205650.187249593
"244","September","2000",2000-09-01,"Customer Sold Only","CP",131,0.00190931483289851,163,0.00134461822741371,1439964000,0.0188723999998784,8834134.96932515
"240","September","2000",2000-09-01,"Customer Sold Only","Long Note",341,0.00497004853449155,609,0.00502375767174817,1228786400,0.0161046723773723,2017711.65845649
"242","September","2000",2000-09-01,"Customer Sold Only","Long Variable",112,0.00163239130751629,178,0.00146835610110209,236580545,0.00310066270922691,1329104.18539326
"245","September","2000",2000-09-01,"Customer Sold Only","Other",307,0.00447450117328125,561,0.00462779647594536,1618110854,0.0212072213477787,2884333.07308378
"241","September","2000",2000-09-01,"Customer Sold Only","Short Note",46,0.000670446429872761,67,0.000552695835808091,167903000,0.00220056374824619,2506014.92537313
"243","September","2000",2000-09-01,"Customer Sold Only","Short Variable",3450,0.0502834822404571,14567,0.120165973734574,49999132817,0.655296683923674,3432356.20354225
"176","October","2000",2000-10-01,"Total Customer and Interdealer","Bond",87481,0.923799064384299,486222,0.924821254329554,82008206461,0.403343755825736,168664.121452752
"181","October","2000",2000-10-01,"Total Customer and Interdealer","CP",954,0.0100742367762442,1561,0.00296910871578915,12048441000,0.0592582578561312,7718411.91543882
"177","October","2000",2000-10-01,"Total Customer and Interdealer","Long Note",1056,0.0111513564315659,3994,0.00759680987242913,2886820871,0.0141983494427353,722789.401852779
"179","October","2000",2000-10-01,"Total Customer and Interdealer","Long Variable",171,0.00180575942215698,1071,0.00203710149558628,932288546,0.0045853065185102,870484.169934641
"182","October","2000",2000-10-01,"Total Customer and Interdealer","Other",504,0.00532223829688374,1492,0.00283786688274018,3643060715,0.0179177896322862,2441729.70174263
"178","October","2000",2000-10-01,"Total Customer and Interdealer","Short Note",175,0.00184799940864019,555,0.00105564083104611,712837903,0.00350597494444284,1284392.61801802
"180","October","2000",2000-10-01,"Total Customer and Interdealer","Short Variable",4356,0.0459993452802095,30852,0.0586822178728552,101089222233,0.497190565780159,3276585.70702061
"183","October","2000",2000-10-01,"Interdealer Only","Bond",35711,0.979860063108794,105118,0.986912272795554,24668501000,0.969562495185301,234674.375463765
"188","October","2000",2000-10-01,"Interdealer Only","CP",0,0,0,0,0,0,NA
"184","October","2000",2000-10-01,"Interdealer Only","Long Note",370,0.0101522842639594,762,0.00715412347904461,328102000,0.0128956110383557,430580.052493438
"186","October","2000",2000-10-01,"Interdealer Only","Long Variable",50,0.00137193030594046,126,0.00118296529968454,43125000,0.00169497054583358,342261.904761905
"189","October","2000",2000-10-01,"Interdealer Only","Other",35,0.000960351214158321,62,0.000582094036352711,8817000,0.000346540412814252,142209.677419355
"185","October","2000",2000-10-01,"Interdealer Only","Short Note",47,0.00128961448758403,69,0.00064781433077963,39510000,0.00155288779746979,572608.695652174
"187","October","2000",2000-10-01,"Interdealer Only","Short Variable",232,0.00636575661956373,375,0.00352073005858495,354865000,0.0139474950202257,946306.666666667
"190","October","2000",2000-10-01,"Customer Only Buy and Sell","Bond",86579,0.923174528704257,381104,0.909046238982909,57339705461,0.322354192689563,150456.845010811
"195","October","2000",2000-10-01,"Customer Only Buy and Sell","CP",954,0.0101723108419347,1561,0.00372344866244469,12048441000,0.0677343115123685,7718411.91543882
"191","October","2000",2000-10-01,"Customer Only Buy and Sell","Long Note",1048,0.0111746140066536,3232,0.00770927999809176,2558718871,0.0143846877019931,791682.818997525
"193","October","2000",2000-10-01,"Customer Only Buy and Sell","Long Variable",171,0.00182333873581848,945,0.00225410569251136,889163546,0.00499872810185203,940913.805291005
"196","October","2000",2000-10-01,"Customer Only Buy and Sell","Other",504,0.0053740510108334,1430,0.00341097475163095,3634243715,0.0204311077178929,2541429.17132867
"192","October","2000",2000-10-01,"Customer Only Buy and Sell","Short Note",175,0.00186598993431715,486,0.0011592543561487,673327903,0.00378533637105181,1385448.3600823
"194","October","2000",2000-10-01,"Customer Only Buy and Sell","Short Variable",4353,0.0464151667661861,30477,0.0726966975562632,100734357233,0.566311635905279,3305258.3007842
"197","October","2000",2000-10-01,"Customer Bought Only","Bond",78447,0.922168147834673,274569,0.925478127801859,35350471524,0.339515520260787,128748.953902298
"202","October","2000",2000-10-01,"Customer Bought Only","CP",932,0.0109559411294494,1237,0.00416950363693971,9665456000,0.0928296619797514,7813626.51576394
"198","October","2000",2000-10-01,"Customer Bought Only","Long Note",1002,0.0117788122443222,2729,0.00919852500016853,1936731097,0.0186008909543619,709685.268230121
"200","October","2000",2000-10-01,"Customer Bought Only","Long Variable",157,0.0018455823576433,753,0.00253810528586548,577175273,0.00554334792850547,766501.026560425
"203","October","2000",2000-10-01,"Customer Bought Only","Other",441,0.00518408802369869,914,0.00308078118364018,2208704466,0.0212129969855481,2416525.67396061
"199","October","2000",2000-10-01,"Customer Bought Only","Short Note",171,0.00201015658061786,430,0.00144938283256595,561632758,0.00539407339725053,1306122.69302326
"201","October","2000",2000-10-01,"Customer Bought Only","Short Variable",3918,0.0460572718295951,16046,0.0540855742589609,53820169233,0.516903508493795,3354117.48928082
"204","October","2000",2000-10-01,"Customer Sold Only","Bond",64242,0.935585815189689,106535,0.869268993203163,21989233937,0.29812831160621,206403.847909138
"209","October","2000",2000-10-01,"Customer Sold Only","CP",237,0.00345154008592442,324,0.00264366784434998,2382985000,0.0323083240038443,7354891.97530864
"205","October","2000",2000-10-01,"Customer Sold Only","Long Note",352,0.00512633801791306,503,0.00410421273366678,621987774,0.00843286152821855,1236556.21073559
"207","October","2000",2000-10-01,"Customer Sold Only","Long Variable",120,0.00174761523337945,192,0.00156661798183702,311988273,0.00422991257162081,1624938.921875
"210","October","2000",2000-10-01,"Customer Sold Only","Other",271,0.00394669773538193,516,0.004210285826187,1425539249,0.0193273494952292,2762672.96317829
"206","October","2000",2000-10-01,"Customer Sold Only","Short Note",42,0.000611665331682808,56,0.000456930244702465,111695145,0.00151435402837885,1994556.16071429
"208","October","2000",2000-10-01,"Customer Sold Only","Short Variable",3401,0.0495303284060293,14431,0.117749292166094,46914188000,0.636058886766498,3250931.18979974
"141","November","2000",2000-11-01,"Total Customer and Interdealer","Bond",86908,0.925665960143577,482710,0.925888274242924,89188183000,0.446183028177792,184765.559031302
"146","November","2000",2000-11-01,"Total Customer and Interdealer","CP",740,0.00788181537380042,1155,0.00221541081964446,8995152000,0.0450001785357542,7788010.38961039
"142","November","2000",2000-11-01,"Total Customer and Interdealer","Long Note",1017,0.0108321705880473,3541,0.00679200840897059,2883702469,0.0144263405386585,814375.167749223
"144","November","2000",2000-11-01,"Total Customer and Interdealer","Long Variable",160,0.00170417629703793,1237,0.00237269539731619,846149000,0.004233041983932,684033.144704931
"147","November","2000",2000-11-01,"Total Customer and Interdealer","Other",524,0.00558117737279922,1836,0.0035216400561621,4341651088,0.0217200414289777,2364733.708061
"143","November","2000",2000-11-01,"Total Customer and Interdealer","Short Note",205,0.00218347588057985,687,0.00131773786415216,1243683070,0.00622179149300589,1810310.14556041
"145","November","2000",2000-11-01,"Total Customer and Interdealer","Short Variable",4333,0.0461512243441584,30182,0.0578922332108304,92392952978,0.46221557784188,3061193.85653701
"148","November","2000",2000-11-01,"Interdealer Only","Bond",35036,0.980027972027972,100420,0.986899649150394,25816444000,0.976375640678765,257084.684325832
